batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - YahneOfficialASMRBarbie,"facecard, asmrbarbie, asmr, asmrglue",yahneofficial,2700000,6157,136500,14300
1,1,original sound - leona mcanally,"fyp, fyp%E3%82%B7, foryou, foryoupage, tiktok",leona.mcanally,743300,43200,85700,339000
1,2,original sound - 🎧,,skyyjade,23800,1725,2479,139
1,3,original sound - spudman,"jacketpotato, bakedpotato, business, spudarmy, tamworth",spudarmy,5200000,20300,239400,25000
1,4,Rave no Escurinho Bota a Mão na Parede - Davizin & MC TOPRE,"@fan_de_roxicake98, crecerentiktok, sifunciona",adelaury.santana,129000,18100,40100,6914
1,5,Following just the New tiktoker - TikTok Queen🇧🇪 🇮🇹,"empress_d, empress_dor, fyp, fyp%E3%82%B7%E3%82%9Aviral, foryou",empress_dor,10100,16500,3419,3341
1,6,original sound - Slimmerjimmer,"gnb, foryoupage, valentinesday",britney.official,511500,829,16000,2200
1,7,Easy Money - Mr. Thank You,"tiktoktrend, money",mr.thank_you,8003,847,583,436
1,8,original sound - KhianKB,"badpeoplescardgame, dycegamespartner, edno, khiankb, comedy, funny",khian.kb,313500,999,33600,4132
1,9,original sound - بدون دقات,"fidgetball, galaxyball, astroball, moonball",galaxyballonly,2902,94,382,104
1,10,Diamondz n Roses - VaporGod,"iphe, xyzbca, %E2%9D%A4%EF%B8%8F%E2%9D%A4%EF%B8%8F%E2%9D%A4%EF%B8%8F, viral, relatable",iphe._a,42300,16400,4092,7577
2,0,original sound - Forsaken Otaku,"forsakenotaku, voiceactor, voiceacting, voiceover, fortniteclips, funnyfortnite, fortnitechapter5, npc, fortnitenpc, gamingontiktok, tiktokgaming",forsakenotaku,11500,174,965,90
2,1,original sound - Jasontheween Clips,"jasontheween, fyp, minecraft, jasonxyujin, twitchstreamer, yujinhamm",im_goochy,104600,117,7989,246
2,2,A somewhat creepy and sad atmosphere music box - MoppySound,"conspiracy, conspiracytiktok, conspirancytheory",evileyes1111,962800,16700,64099,11600
2,3,original sound - felix,"fyp, funny, antisocial",1millionfelix,602600,3903,43600,6696
2,4,original sound - EX7STENCE™,vball,hannnahoh,46000,228,5653,383
2,5,original sound - micropunch,greenscreen,micropunch,38,6,0,0
2,6,original sound - Paul Olima,"Flying, Plane, Airports, @svengudvunsun, @meettheharrisons, @emilyfayemiller",olima_omega,208800,1453,16700,3674
3,0,original sound - 𝐪𝐧𝐱𝐧𝐪𝐪𝐙,"zepeto, zepetotiktok, zepetofyp, capcut, fyp, edit, %E0%B8%AA%E0%B8%9B%E0%B8%B5%E0%B8%94%E0%B8%AA%E0%B9%82%E0%B8%A5%E0%B8%A7%E0%B9%8C, %E0%B8%AA%E0%B9%82%E0%B8%A5%E0%B8%A7%E0%B9%8C%E0%B8%AA%E0%B8%A1%E0%B8%B9%E0%B8%97",simplyanxna,92,0,16,0
3,1,original sound - 🫶🏽,@all.in.faith,autumnnmonique,654900,11800,68400,1130
3,2,original sound - 🖤,"ddot, @sugarhillddot, ddosama, ddosamaandddot, oy, ddandddot, nottiosama%F0%9F%95%8A, sugarhillddotedits, sugarhillddotedit, sugarhillddot, ddotsugarhill, ddosamaedit, ddosamaedits, ddotedit",booyouslut1,23000,46,2676,139
3,3,original sound - FunnyCatsofTiktok,"funnycats, funnyanimals, funnypets",funnycats0ftiktok,7200000,30500,1100000,121100
3,4,original sound - Roosevelt VeltBoy Ha,,jadenrabago,39500,179,3863,1701
3,5,original sound - Jack Doherty,jackdoherty,jackdoherty,15600,316,971,35
3,6,original sound - KEEMOKAZI,,keemokazi,323700,794,21800,453
3,7,original sound - Artistic Moments,"fyp, erich, bands",bandsbank,1300000,18500,129600,11600
3,8,original sound - Lucas_Marcus.officie,,_lucas.marcus_fanpage,11400,96,1844,33
3,9,оригинальный звук - ㅤㅤㅤㅤㅤㅤㅤ,"@showtimebaba, @yohan_lbt, diamantblazi, seckoff, fyp, foryou, dunk, bball, basketball, trio, challenge, viral, trend, florida, usa, floridabasketball, usabasketball",diamantblazi,1900000,9533,146600,8833
3,10,original sound - hurdson_k_ug,"rangotenge, foryou, fouryoupage, fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral, fyp, viralvideo, viral, viraltiktok, viralpost, trending, trendingvideo, likes, following, friends",hurdson_k_ug,363900,3888,31000,5995
3,11,original sound - riley mae,"interview, streetinterview, tiktokchallenge, challenge, viralchallenge",rileymae,5452,36,526,35
3,12,original sound - Anxietycouple,"fyp%E3%82%B7%E3%82%9Aviral, viral, fypp, target, familycomedy",anxietycouple,83000,260,7888,239
3,13,original sound - Ellen DeGeneres,"theellenshow, brielle, kidexpert",ellendegeneres,7600000,38400,494600,171600
3,14,original sound - Barstool Sports,"@bffspod, @mackenziesol",barstoolsports,56000,205,3772,164
3,15,original sound - The Royalty Family💕💕,"other, royalfamily, fyp, theroyalfamily, foryou, reafamily, foryou, reafamily, family, theroyalfam, royal, royaltyfamily, realtyfamily, troll",theroyaltyfamily225,52600,394,7096,170
3,16,original sound - erm.,"fyp, viral, humour, movie, freshofftheboat, ermeeze, edit",ermeeze,1400000,7436,171200,22300
3,17,original sound - Alexis,"fyp, foryou, foryoupage, viral, alexisdacreator, xyzbca",alexisdacreator,95900,1139,17200,2494
3,18,MISS MISS WESTY - yeezyupdates,"grwm, matchingoutfits, mommyandme, fyp%E3%82%B7",estxefania,296800,1326,19000,729
3,19,Jump Around - 30 Years Remaster - House Of Pain,"teachers, homecomingweek, spiritweek, teachersdressedasstudents, sofun, todaysgeneration",saltnthesea,2500000,5209,120600,17800
3,20,née-nah - 21 Savage & Travis Scott & Metro Boomin,greenscreen,imnothae,205300,22600,26400,4330
3,21,Just Wanna Rock - Lil Uzi Vert,"@joshuamarsh83, foryou, sports, challenge, gymnastics",houseofhighlights,20700,213,1012,140
3,22,nhạc nền - Pet Funny😸,"wholesome, love, life, viral",pet_mewmew_cute,11800,104,1280,661
3,23,الصوت الأصلي - アリー /Ali,"%D8%AC%D9%85%D8%A7%D9%84, %D8%A7%D9%85%D9%8A%D8%B1%D8%A9, %D8%B5%D8%AF%D9%8A%D9%82%D8%A7%D8%AA",randxalobaidi,67300,468,6945,884
3,24,original sound - zxrswd,"kaicenat, fyp, viral, twitch, foryou, fyp%E3%82%B7",zxrswd,182400,364,11600,45900
3,25,original sound - HikariC,"@bellamarie0905, pfp, art, arttok, drawing",kiarta.x,34500,23100,5741,446
3,26,original sound - tipsybartender,"tipsybartender, cocktail, candytok",realtipsybartender,99700,613,10900,976
4,0,original sound - Scotland,"scotland, scotlandtiktok, scotlandtravel, scotlandforever, traveltiktok, travelbucketlist, placestovisit, scottishhighlands, highlands, epicscenery, munro, munrobagging, mamores",scotland,115700,710,10700,2016
4,1,Positive Nanana - Balang_3go,"rvlife, motorhome, rvtour, , traveltiktok, tinyhomeonwheels, nomad",fuelyourwander,45700,144,1557,271
4,2,оригінальний звук - Lauuuzzz,rec,lauuzz2,87000,1040,6978,15400
4,3,Je te laisserai de mots - noel.smt,,haylsa,794500,1072,75100,6828
4,4,original sound - Tanem 💋,"glossybalm, glossylipstick, cherrycolalips",musthavesxt,536700,977,83900,3962
4,5,Originalton - Kashikoi,"wildkratts, cartoon, pbskids, cartoons, cartoonfyp, cartoonedit, animation, animated, animatedseries, tvshow, tvseries, tv, series, television, cinema, cinetok, cinematok, movietiktok, movie, movies, movietok, film, filmtiktok, filmtok, kashikoi99, viraltiktok, viral, edit, moviefyp, movieedit, wildkrattsedit, evolutionofwildkratts",kashikoi.99,305000,3160,51200,7303
4,6,original sound - Tim Tam,"timtamaustralia, timtam, glutenfreetimtam, glutenfree, glutenfreesnacks",timtamofficial,1433,31,9,23
4,7,original sound - eiynah,"selimut, selimuthospital, myfuntasticpayday",eiynah,29400,355,5166,821
1,0,original sound - Tay,"fyp, foryoupage, armystrong, talltok, fyp%E3%82%B7, xybca, viral, army",jfoggisback,2800000,43000,143200,35100
1,1,Suara Seram Sangat Mencekam - Kholil Buitenzorg,"taylorswift, icespice, god",youwontbelievemeofficial,8985,552,1069,283
1,2,Aesthetic - Tollan Kim,"built, secret, room, couch, challenge, foryourpage, tiktok",moresim2,1300000,1582,95600,1382
1,3,original sound - PETA,,officialpeta,807,200,86,63
1,4,original sound - sv,"fyp%E3%82%B7%E3%82%9Aviral, viralvideo, xxequeditsz, foryoupage, foryou",xxequ.editsz,89300,798,6460,574
1,5,الصوت الأصلي - مـرزوق الششمري 🎠🤍.,"%D8%A7%D9%83%D8%B3%D8%A8%D9%84%D9%88%D8%B1explore, %D9%85%D8%B1%D8%A8%D8%B7_%D8%A7%D9%84%D8%AC%D8%A8%D9%84%D9%8A%D9%86, fyp, pageforyou, %D8%B1%D8%B9%D9%80%D9%80%D8%AF",4j0p,4668,79,362,68
1,6,original sound - Lil Valen🥷🏻,"fyp, you, fouryou, viral",cesarparra.01,8121,116,1310,468
1,7,Vuelve A La Vida - Efecto Elegante,losparras,lizsotooo_,38000,256,1873,104
1,8,sonido original - Carlos y Lilian,"carlosparra%F0%9F%95%8A%EF%B8%8F, carlosxsiempre, cesarparra, losparras, paratiiiiiiiiiiiiiiiiiiiiiiiiiiiii, viral",carlosylilian33,32500,35,2370,58
1,9,Por Verte Feliz - Los Parras,"paratii, carlosparra, losparras, @tiktok, @carlosparra_, @liliangriegon, @cesar_losparras, paratii, vistasentiktok",fansdelosparras43,77900,817,6206,392
1,10,sonido original - C&L❤️‍🩹,"@carlosparra_, @lilliangriego",lilian.griego837,31000,679,1178,193
